               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  67,            0.047284,           0.0076121,           0.0066961,             0.64867,             0.58945,             0.65028,             0.26614,            0.053753,            0.009097,           0.0078245,           0.0083665,           0.0083665,           0.0083665
                  68,            0.048272,           0.0071337,           0.0067914,             0.51772,             0.56469,             0.56828,             0.24664,            0.052197,           0.0092134,           0.0077843,           0.0083418,           0.0083418,           0.0083418
                  69,            0.048127,            0.007651,           0.0097011,              0.6015,             0.64922,             0.64474,             0.26512,            0.051133,           0.0095202,           0.0076674,            0.008317,            0.008317,            0.008317
                  70,            0.043269,            0.008163,           0.0095661,              0.6727,             0.71371,             0.73893,             0.33838,            0.046982,           0.0093931,           0.0075428,           0.0082922,           0.0082922,           0.0082922
                  71,            0.047942,           0.0083972,           0.0075056,             0.64732,             0.72567,             0.72794,             0.33068,            0.051948,           0.0085247,            0.007572,           0.0082675,           0.0082675,           0.0082675
                  72,            0.044162,           0.0071927,           0.0096876,             0.58539,             0.63451,             0.63273,              0.3199,            0.044968,           0.0088386,           0.0075312,           0.0082428,           0.0082428,           0.0082428
                  73,            0.044502,           0.0076917,           0.0077475,             0.67054,               0.668,             0.70913,             0.33314,            0.050998,           0.0081184,           0.0069689,            0.008218,            0.008218,            0.008218
                  74,            0.050128,           0.0076932,           0.0076899,             0.71416,             0.64322,             0.70497,             0.31396,            0.045535,            0.008657,           0.0068997,           0.0081932,           0.0081932,           0.0081932
                  75,            0.043942,           0.0083242,            0.008105,             0.70668,             0.78273,             0.83498,               0.355,            0.047196,           0.0087288,           0.0071681,           0.0081685,           0.0081685,           0.0081685
                  76,              0.0415,           0.0082063,           0.0084679,             0.55151,             0.69106,              0.6452,             0.31709,            0.044752,           0.0090439,           0.0073929,           0.0081437,           0.0081437,           0.0081437
                  77,            0.041276,           0.0095338,           0.0078899,             0.71003,             0.73912,             0.76038,             0.32766,            0.048172,           0.0085519,           0.0073638,            0.008119,            0.008119,            0.008119
                  78,             0.04635,           0.0079674,           0.0072124,              0.5558,             0.71781,             0.67094,             0.29339,            0.047037,           0.0084473,           0.0068438,           0.0080942,           0.0080942,           0.0080942
                  79,             0.04614,             0.00648,           0.0070572,             0.71397,              0.7604,             0.83162,             0.35562,            0.046818,           0.0083652,           0.0064618,           0.0080695,           0.0080695,           0.0080695
                  80,            0.049408,           0.0080588,           0.0078469,             0.75869,             0.79596,             0.86352,             0.38156,            0.045242,           0.0083499,           0.0064739,           0.0080447,           0.0080447,           0.0080447
                  81,            0.037958,           0.0078165,            0.005609,             0.70551,             0.62886,             0.71032,             0.30006,             0.04931,            0.007822,           0.0061001,             0.00802,             0.00802,             0.00802
                  82,              0.0423,           0.0072311,           0.0055961,             0.74492,              0.7904,             0.84765,             0.36916,             0.04588,           0.0081166,            0.006043,           0.0079953,           0.0079953,           0.0079953
                  83,            0.040867,           0.0068465,           0.0064319,             0.61751,             0.84361,             0.77911,             0.35168,            0.045483,           0.0080932,           0.0059359,           0.0079705,           0.0079705,           0.0079705
                  84,            0.044731,           0.0087094,           0.0067619,             0.66615,             0.86013,             0.83012,             0.39054,             0.04551,            0.008243,           0.0057852,           0.0079457,           0.0079457,           0.0079457
                  85,            0.041516,           0.0072743,           0.0065773,              0.7228,             0.79898,             0.81042,             0.33149,            0.041867,           0.0083741,           0.0053961,            0.007921,            0.007921,            0.007921
                  86,            0.039624,           0.0071568,            0.007644,             0.70917,             0.81792,             0.80247,             0.35993,            0.041327,           0.0083177,           0.0051482,           0.0078963,           0.0078963,           0.0078963
                  87,            0.038771,           0.0068398,           0.0052343,             0.51694,              0.8253,             0.65937,             0.30598,            0.045732,           0.0080187,            0.004813,           0.0078715,           0.0078715,           0.0078715
                  88,            0.044389,           0.0068024,           0.0049584,             0.49591,             0.83374,             0.61826,             0.26096,             0.04835,           0.0078331,           0.0046006,           0.0078467,           0.0078467,           0.0078467
                  89,            0.048261,           0.0072206,           0.0057946,             0.69653,             0.76815,             0.76929,             0.35218,            0.047774,            0.007749,           0.0046771,            0.007822,            0.007822,            0.007822
                  90,            0.045409,           0.0075907,           0.0079314,             0.67427,             0.80373,             0.71791,             0.29673,            0.044193,           0.0078264,           0.0042992,           0.0077973,           0.0077973,           0.0077973
                  91,             0.04617,           0.0073773,           0.0047498,             0.60047,             0.82099,             0.68527,             0.30638,            0.046366,           0.0077013,           0.0043643,           0.0077725,           0.0077725,           0.0077725
                  92,             0.04447,           0.0065334,           0.0066436,             0.66264,              0.8097,             0.78959,             0.36889,             0.04566,           0.0075581,           0.0044943,           0.0077478,           0.0077478,           0.0077478
                  93,            0.045614,           0.0076138,           0.0052286,             0.70156,             0.88576,             0.81475,             0.40438,            0.046205,           0.0075279,           0.0048699,            0.007723,            0.007723,            0.007723
                  94,            0.044675,           0.0073944,           0.0063422,             0.67923,             0.85474,             0.76251,             0.37954,            0.042289,           0.0077624,           0.0049879,           0.0076983,           0.0076983,           0.0076983
                  95,            0.042356,           0.0070135,           0.0071612,             0.82932,             0.83112,             0.86964,             0.42163,            0.041778,           0.0077564,           0.0050985,           0.0076735,           0.0076735,           0.0076735
                  96,            0.038774,           0.0064974,           0.0060636,             0.77526,             0.82329,             0.84134,             0.44021,            0.042035,           0.0077354,           0.0052185,           0.0076488,           0.0076488,           0.0076488
                  97,            0.053358,           0.0073974,           0.0094992,             0.67676,             0.89951,             0.80258,             0.38668,            0.046562,           0.0077051,           0.0052962,            0.007624,            0.007624,            0.007624
                  98,            0.041706,           0.0065209,           0.0062011,             0.63454,             0.86076,             0.77115,             0.33623,            0.044889,           0.0075866,           0.0051434,           0.0075993,           0.0075993,           0.0075993
                  99,            0.041443,           0.0066841,           0.0058815,              0.6377,             0.85005,             0.76174,              0.3054,            0.045445,           0.0075001,           0.0051708,           0.0075745,           0.0075745,           0.0075745
                 100,            0.043778,           0.0081177,           0.0059576,             0.64545,             0.82303,             0.77709,             0.35645,            0.042287,           0.0077433,           0.0051248,           0.0075498,           0.0075498,           0.0075498
                 101,            0.039697,           0.0079642,           0.0059772,             0.68667,             0.82143,              0.7463,             0.37501,             0.04004,            0.007769,           0.0050886,            0.007525,            0.007525,            0.007525
                 102,            0.037718,           0.0070912,           0.0048486,             0.79199,             0.83988,             0.84747,             0.41384,            0.038421,           0.0076601,           0.0048769,           0.0075003,           0.0075003,           0.0075003
                 103,            0.041336,           0.0071275,           0.0048586,              0.8111,             0.82649,             0.85474,              0.4046,            0.040966,           0.0073957,           0.0042364,           0.0074755,           0.0074755,           0.0074755
                 104,            0.045668,           0.0064912,           0.0062699,             0.65092,             0.85871,              0.7992,             0.37803,             0.04219,           0.0073034,           0.0039583,           0.0074507,           0.0074507,           0.0074507
                 105,            0.038827,           0.0065506,           0.0048739,             0.79615,             0.83155,             0.88131,             0.41954,            0.042529,           0.0072132,           0.0037093,            0.007426,            0.007426,            0.007426
                 106,            0.041119,           0.0077875,           0.0054932,             0.64397,             0.81109,             0.74988,             0.25446,            0.047902,           0.0070746,           0.0033248,           0.0074013,           0.0074013,           0.0074013
                 107,            0.042829,           0.0066669,           0.0054071,             0.81172,             0.78514,              0.8909,             0.44803,            0.044603,           0.0072193,           0.0033244,           0.0073765,           0.0073765,           0.0073765
                 108,            0.040964,             0.00662,           0.0055747,             0.79926,             0.78146,              0.8864,             0.40107,            0.044773,           0.0072634,           0.0033105,           0.0073517,           0.0073517,           0.0073517
                 109,            0.038694,            0.006047,           0.0049361,             0.84843,             0.85489,             0.93722,             0.39701,              0.0496,           0.0071193,           0.0034626,            0.007327,            0.007327,            0.007327
                 110,            0.047297,           0.0064977,            0.005998,             0.62454,             0.83649,             0.76619,             0.38278,            0.045317,           0.0073086,           0.0034427,           0.0073023,           0.0073023,           0.0073023
                 111,            0.045757,           0.0065432,             0.00608,             0.84152,             0.84731,             0.89631,             0.46887,            0.042803,           0.0073191,           0.0033949,           0.0072775,           0.0072775,           0.0072775
                 112,            0.042886,           0.0076291,           0.0057602,             0.86176,             0.88882,             0.90967,             0.46914,            0.041363,            0.007244,           0.0033516,           0.0072527,           0.0072527,           0.0072527
                 113,            0.035451,           0.0064244,           0.0056098,             0.62682,             0.79762,             0.69306,             0.30633,            0.047067,           0.0070014,           0.0031791,            0.007228,            0.007228,            0.007228
                 114,            0.045084,           0.0077806,            0.005293,             0.79918,             0.86501,             0.85785,              0.4108,            0.040505,           0.0072375,           0.0033481,           0.0072033,           0.0072033,           0.0072033
                 115,            0.037249,           0.0068348,           0.0050959,             0.77845,             0.86853,             0.81256,             0.41536,            0.038234,           0.0073701,           0.0033873,           0.0071785,           0.0071785,           0.0071785
                 116,            0.034262,           0.0074194,            0.004188,             0.82163,             0.89902,             0.89506,             0.41701,            0.038978,           0.0072904,            0.003377,           0.0071538,           0.0071538,           0.0071538
                 117,            0.040587,           0.0074904,           0.0040469,             0.79368,             0.87077,             0.89027,              0.4251,            0.039325,           0.0073332,           0.0034272,            0.007129,            0.007129,            0.007129
                 118,            0.035398,           0.0066407,           0.0047253,             0.76824,              0.8372,             0.81858,             0.39753,            0.038657,           0.0074282,            0.003395,           0.0071042,           0.0071042,           0.0071042
                 119,            0.036782,            0.007392,           0.0046817,             0.76621,             0.84484,             0.86906,             0.43462,            0.038662,           0.0072982,           0.0033717,           0.0070795,           0.0070795,           0.0070795
